brand,age,mileage,engine_size,fuel_type,transmission,owners,condition,price
Honda,0.9,15387,1.8,Petrol,Manual,2,Excellent,27779.93
Maruti,1.0,13565,1.6,Hybrid,Manual,1,Good,17238.67
Toyota,13.8,176793,1.4,Diesel,Manual,4,Good,2355.06
Hyundai,11.1,162878,1.0,Hybrid,Manual,2,Fair,1929.37
Maruti,16.0,154075,2.0,Petrol,Manual,2,Poor,1666.81
Volkswagen,5.4,51454,4.0,Electric,Manual,2,Fair,31062.88
Honda,11.2,131400,1.4,Hybrid,Automatic,1,Poor,3337.86
Hyundai,15.2,183248,1.0,Electric,Automatic,1,Excellent,1678.82
Maruti,15.8,239889,2.0,Hybrid,Manual,1,Excellent,1702.89
Maruti,8.0,102113,3.5,Diesel,Automatic,1,Excellent,15135.96
Honda,3.2,42372,1.4,Petrol,Automatic,1,Poor,9466.82
Toyota,12.4,153004,1.2,Electric,Automatic,1,Good,3291.23
Audi,0.6,9913,1.8,Petrol,Automatic,3,Good,39299.32
Ford,9.9,171765,3.0,Hybrid,Manual,1,Good,8336.61
Mercedes,4.7,82010,1.6,Petrol,Automatic,2,Poor,13952.15
Audi,17.1,233014,1.4,Hybrid,Manual,3,Fair,1756.58
BMW,13.0,238255,2.2,Hybrid,Automatic,1,Excellent,5620.42
BMW,10.8,194292,1.0,Diesel,Manual,3,Fair,3047.1
Honda,9.5,120322,1.8,Diesel,Automatic,1,Good,7219.94
Volkswagen,6.7,90825,2.2,Petrol,Manual,1,Good,13926.01
Honda,4.9,60108,1.6,Diesel,Automatic,1,Fair,13127.38
Nissan,2.2,45777,4.0,Petrol,Manual,1,Good,40134.99
BMW,15.6,220253,1.0,Hybrid,Automatic,3,Fair,1586.98
Nissan,12.1,226456,2.5,Petrol,Manual,2,Excellent,4020.46
Maruti,8.8,170744,3.0,Petrol,Manual,1,Excellent,8406.25
Maruti,4.8,58027,3.5,Electric,Automatic,1,Fair,22851.62
BMW,5.1,61573,1.4,Electric,Manual,1,Good,18219.98
Nissan,4.2,59689,1.8,Petrol,Manual,1,Excellent,15252.56
Nissan,12.8,247586,3.5,Petrol,Automatic,3,Excellent,4816.75
Honda,13.5,166045,1.4,Electric,Manual,2,Fair,2813.22
Nissan,9.0,152583,1.0,Electric,Manual,1,Fair,3057.97
Audi,10.2,122442,2.2,Diesel,Manual,3,Good,10242.44
Ford,8.0,103603,1.0,Petrol,Automatic,1,Excellent,5314.85
Volkswagen,17.5,303281,1.4,Diesel,Manual,3,Excellent,1500
Hyundai,14.2,216777,2.2,Diesel,Automatic,1,Fair,2510.47
Audi,4.4,58664,2.5,Diesel,Manual,1,Excellent,36565.21
Hyundai,5.4,87588,1.2,Hybrid,Automatic,3,Excellent,8277.76
Mercedes,1.2,8980,3.5,Electric,Automatic,2,Good,96627.55
Volkswagen,16.2,232385,1.6,Petrol,Manual,1,Excellent,1822.67
Hyundai,12.1,140707,1.2,Electric,Automatic,1,Good,3063.91
Nissan,2.7,29570,2.2,Diesel,Automatic,1,Fair,20657.96
Maruti,11.1,171705,2.0,Diesel,Automatic,2,Poor,2898.63
Ford,12.0,116585,1.8,Electric,Manual,2,Fair,4416.83
BMW,3.1,37715,1.0,Petrol,Automatic,1,Good,17624.16
BMW,13.1,154157,2.2,Petrol,Manual,2,Excellent,7523.8
Audi,1.4,15699,1.6,Diesel,Automatic,2,Poor,23529.56
Maruti,6.1,58055,2.5,Hybrid,Automatic,3,Fair,11544.35
BMW,15.2,218999,1.8,Diesel,Automatic,1,Fair,2990.29
BMW,5.3,78023,2.0,Diesel,Manual,1,Excellent,24169.31
Hyundai,10.0,179009,2.2,Hybrid,Manual,3,Fair,4775.6
Volkswagen,8.8,120047,2.0,Hybrid,Manual,1,Good,8997.59
Volkswagen,13.2,200634,2.5,Petrol,Automatic,2,Good,4363.67
Honda,11.7,176343,1.4,Electric,Automatic,1,Good,3712.46
Mercedes,13.7,263882,2.2,Petrol,Manual,4,Good,4123.19
Honda,14.2,209469,4.0,Diesel,Manual,3,Good,5521.71
Honda,10.4,177097,1.6,Electric,Manual,2,Poor,3434.47
Honda,14.1,216612,1.4,Petrol,Automatic,2,Fair,1622.31
BMW,1.8,34626,4.0,Electric,Manual,2,Good,88226.63
Toyota,6.6,86844,2.2,Electric,Manual,3,Fair,13665.72
Audi,12.9,243949,2.2,Electric,Automatic,1,Fair,5143.45
Maruti,5.2,74165,1.6,Hybrid,Manual,2,Good,8919.59
Audi,15.4,174500,1.4,Electric,Automatic,1,Good,3696.87
Mercedes,10.2,154385,3.0,Hybrid,Automatic,2,Excellent,16005.35
Audi,14.4,210401,1.2,Diesel,Automatic,2,Good,2699.42
Nissan,9.8,174231,2.2,Electric,Automatic,1,Good,7056.35
Honda,13.5,210154,1.4,Electric,Automatic,4,Fair,2236.8
Mercedes,4.5,63594,1.4,Diesel,Automatic,1,Excellent,21158.16
Audi,2.3,43163,1.0,Hybrid,Automatic,1,Excellent,19824.07
Audi,2.5,33757,1.2,Petrol,Manual,1,Good,18730.81
Honda,10.3,230374,2.2,Diesel,Automatic,1,Good,4682.73
Maruti,17.8,231364,1.8,Petrol,Manual,2,Good,1500
Nissan,1.8,20735,1.0,Hybrid,Automatic,1,Good,13445.55
Mercedes,12.8,206021,2.5,Electric,Manual,1,Good,7571.25
Ford,1.7,16656,1.4,Electric,Automatic,1,Good,19082.93
Volkswagen,17.0,183653,3.0,Petrol,Automatic,2,Good,4002.06
Maruti,10.8,162448,1.0,Electric,Manual,2,Excellent,2440.78
Nissan,11.9,192395,1.8,Hybrid,Manual,1,Good,3534.74
Ford,6.3,93347,2.5,Petrol,Automatic,1,Good,16302.97
Honda,17.5,302768,2.2,Petrol,Automatic,1,Excellent,1953.03
Audi,13.8,246030,1.6,Electric,Automatic,3,Good,3417.27
Toyota,17.5,262689,3.5,Electric,Manual,2,Excellent,3881.12
Audi,17.1,236786,4.0,Electric,Automatic,1,Good,5894.18
Audi,4.8,75521,3.0,Diesel,Manual,1,Fair,27106.52
Nissan,5.2,90476,1.0,Hybrid,Manual,1,Good,6881.53
Hyundai,10.2,99919,3.0,Diesel,Manual,2,Excellent,10201.25
Audi,12.8,162305,2.2,Diesel,Automatic,4,Excellent,7438.84
Maruti,6.3,98696,1.2,Hybrid,Manual,2,Good,5454.12
Audi,14.2,174359,1.8,Petrol,Automatic,3,Fair,4104.08
Volkswagen,17.2,215512,4.0,Petrol,Manual,1,Good,4180.33
Honda,8.1,130887,1.2,Petrol,Automatic,1,Good,4997.91
Toyota,1.3,21850,1.0,Diesel,Manual,1,Good,14360.61
Honda,11.2,134306,2.2,Diesel,Manual,1,Good,6404.57
Mercedes,12.2,211221,2.5,Diesel,Manual,1,Good,7128.03
Volkswagen,12.6,150066,2.5,Hybrid,Automatic,1,Good,6901.29
Hyundai,10.6,208993,1.8,Hybrid,Automatic,1,Fair,3578.1
Maruti,13.5,82113,1.8,Electric,Manual,2,Good,3797.39
Ford,11.5,139601,4.0,Hybrid,Manual,2,Fair,9467.67
Volkswagen,3.6,57571,1.4,Electric,Automatic,3,Good,14142.78
Audi,17.4,238027,1.8,Petrol,Automatic,4,Excellent,2425.87
